Name,Dihedral Linking Numbers
12n_0035,"[[[0, 0], [0, 0]]]"
12n_0039,"[[['x', 'x'], ['x', 'x']]]"
12n_0040,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12n_0043,"[[['x', 'x'], ['x', 'x']]]"
12n_0044,[]
12n_0049,[]
12n_0050,"[[['x', 'x'], ['x', 'x']]]"
12n_0051,[]
12n_0052,[]
12n_0053,[]
12n_0055,"[[[0, 0], [0, 2]]]"
12n_0056,"[[[0, 0], [0, -1]]]"
12n_0057,"[[['x', 'x'], ['x', 'x']]]"
12n_0058,"[[['x', 'x'], ['x', 'x']]]"
12n_0059,"[[['x', 'x'], ['x', 'x']]]"
12n_0060,"[[['x', 'x'], ['x', 'x']]]"
12n_0061,"[[['x', 'x'], ['x', 'x']]]"
12n_0062,[]
12n_0063,[]
12n_0064,[]
12n_0066,[]
12n_0067,"[[['x', 'x'], ['x', 'x']]]"
12n_0083,[]
12n_0084,[]
12n_0098,[]
12n_0099,[]
12n_0100,[]
12n_0101,[]
12n_0102,[]
12n_0106,[]
12n_0107,[]
12n_0108,[]
12n_0109,[]
12n_0110,[]
12n_0125,"[[['x', 'x'], ['x', 'x']]]"
12n_0126,"[[['x', 'x'], ['x', 'x']]]"
12n_0139,[]
12n_0140,[]
12n_0141,[]
12n_0144,[]
12n_0147,[]
12n_0150,"[[[0, 2], [2, 2]]]"
12n_0151,"[[['x', 'x'], ['x', 'x']]]"
12n_0152,"[[['x', 'x'], ['x', 'x']]]"
12n_0156,[]
